Date,Segment 1,Segment 2,Segment 3
5/1/2018,0.0308,0.0419,0.0458
6/1/2018,0.0312,0.042,0.046
7/1/2018,0.0315,0.042,0.0447
8/1/2018,0.031,0.0415,0.0446
9/1/2018,0.0321,0.0426,0.0455
10/1/2018,0.0333,0.0439,0.0472
11/1/2018,0.0343,0.0446,0.0488
12/1/2018,0.0338,0.0432,0.0469
1/1/2019,0.0319,0.0425,0.046
2/1/2019,0.0301,0.0411,0.0441
3/1/2019,0.0286,0.04,0.0442
4/1/2019,0.0279,0.0388,0.0433
5/1/2019,0.0272,0.0376,0.0433
6/1/2019,0.0241,0.0351,0.0416
7/1/2019,0.0234,0.0338,0.0401
8/1/2019,0.0209,0.03,0.0361
9/1/2019,0.0213,0.0307,0.0365
10/1/2019,0.0201,0.0306,0.0365
11/1/2019,0.0204,0.0309,0.0368
12/1/2019,0.0203,0.0306,0.0359
1/1/2020,0.0191,0.0293,0.0354
2/1/2020,0.0173,0.0272,0.0335
3/1/2020,0.0222,0.0308,0.0373
4/1/2020,0.0158,0.0288,0.0324
5/1/2020,0.0108,0.0278,0.0347
6/1/2020,0.0074,0.0257,0.0332
7/1/2020,0.0059,0.0225,0.0301
8/1/2020,0.0052,0.0222,0.0303
9/1/2020,0.0051,0.0231,0.0315
10/1/2020,0.0054,0.0238,0.0328
11/1/2020,0.0053,0.0231,0.0309
12/1/2020,0.0051,0.0226,0.0301
1/1/2021,0.005,0.0238,0.0317
2/1/2021,0.0051,0.0254,0.0345
3/1/2021,0.0069,0.0292,0.0369
4/1/2021,0.0067,0.0284,0.0347
5/1/2021,0.0061,0.0284,0.0354
6/1/2021,0.0063,0.027,0.0332
7/1/2021,0.0063,0.0251,0.031
8/1/2021,0.0066,0.025,0.0312
9/1/2021,0.007,0.0255,0.0306
